from,to,distpottery,distgeo,confusion
parlamento,belen,0.7857143,72.45,3
parlamento,delicias,0.702381,82.01,2
parlamento,malpica,0.7142857,74.77,3
parlamento,villaseca,0.7380952,95.33,6
belen,parlamento,0.7857143,72.45,11
belen,delicias,0.8409091,22.82,6
belen,malpica,0.7272727,8.73,12
belen,villaseca,0.7169811,25.23,13
delicias,parlamento,0.702381,82.01,13
delicias,belen,0.8409091,22.82,2
delicias,malpica,0.7522523,14.19,6
delicias,villaseca,0.8018868,22.45,1
malpica,parlamento,0.7142857,74.77,2
malpica,belen,0.7272727,8.73,6
malpica,delicias,0.7522523,14.19,4
malpica,villaseca,0.6509434,20.97,13
villaseca,belen,0.7169811,25.23,0
villaseca,malpica,0.6509434,20.97,5
villaseca,delicias,0.8018868,22.45,3
villaseca,parlamento,0.7380952,95.33,2
